Strategy,Prize tier,Hits,Hit rate,Estimated prize value,Total prize value,Share of strategy value,Prize tier rank
Balanced mix,2+0,10,0.05,3.0,30.0,0.8333333333333334,13
Balanced mix,1+2,1,0.005,6.0,6.0,0.16666666666666666,11
Cold numbers,2+0,10,0.05,3.0,30.0,0.5084745762711864,13
Cold numbers,2+1,3,0.015,5.0,15.0,0.2542372881355932,12
Cold numbers,3+0,1,0.005,8.0,8.0,0.13559322033898305,10
Cold numbers,1+2,1,0.005,6.0,6.0,0.1016949152542373,11
Random baseline,2+0,11,0.055,3.0,33.0,0.55,13
Random baseline,2+1,3,0.015,5.0,15.0,0.25,12
Random baseline,2+2,1,0.005,12.0,12.0,0.2,8
Ranked model,2+0,15,0.075,3.0,45.0,0.6923076923076923,13
Ranked model,2+1,4,0.02,5.0,20.0,0.3076923076923077,12
Recent hot,2+1,3,0.015,5.0,15.0,0.42857142857142855,12
Recent hot,2+0,4,0.02,3.0,12.0,0.34285714285714286,13
Recent hot,3+0,1,0.005,8.0,8.0,0.22857142857142856,10
