Date,Year,Month,Month number,Quarter,Weekday,Draw index,Balls,LuckyStars,Ball sum,Low ball count,High ball count,Odd ball count,Even ball count,Birthday ball count,Consecutive pairs,Star sum,Jackpot prize GBP,UK jackpot winners,Total jackpot winners,Jackpot won,Rollover count,Winning ticket information,Ball set,Ball machine,Result URL,Fetch error
2004-02-13,2004,February,2,Q1,Friday,1,"[16, 29, 32, 36, 41]","[7, 9]",154,1,4,2,3,2,0,16,10143000.0,0.0,1.0,True,5.0,The single winning jackpot ticket matching 5 main numbers and 2 Lucky Stars was purchased in France .,,,https://www.lottery.co.uk/euromillions/results-13-02-2004,
2004-02-20,2004,February,2,Q1,Friday,2,"[7, 13, 39, 47, 50]","[2, 5]",156,2,3,4,1,2,0,7,10111500.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-20-02-2004,
2004-02-27,2004,February,2,Q1,Friday,3,"[14, 18, 19, 31, 37]","[4, 5]",119,3,2,3,2,4,1,9,11880304.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-27-02-2004,
2004-03-05,2004,March,3,Q1,Friday,4,"[4, 7, 33, 37, 39]","[1, 5]",120,2,3,4,1,2,0,6,13870849.0,0.0,1.0,True,5.0,The single winning jackpot ticket matching 5 main numbers and 2 Lucky Stars was purchased in Spain .,,,https://www.lottery.co.uk/euromillions/results-05-03-2004,
2004-03-12,2004,March,3,Q1,Friday,5,"[15, 24, 28, 44, 47]","[4, 5]",158,2,3,2,3,3,0,9,10171500.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-12-03-2004,
2004-03-19,2004,March,3,Q1,Friday,6,"[33, 36, 37, 42, 45]","[4, 9]",193,0,5,3,2,0,1,13,11696661.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-19-03-2004,
2004-03-26,2004,March,3,Q1,Friday,7,"[3, 4, 10, 23, 43]","[2, 4]",83,4,1,3,2,4,1,6,13451480.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-26-03-2004,
2004-04-02,2004,April,4,Q2,Friday,8,"[4, 12, 24, 27, 36]","[2, 9]",103,3,2,1,4,4,0,11,15183435.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-02-04-2004,
2004-04-09,2004,April,4,Q2,Friday,9,"[1, 4, 10, 19, 23]","[2, 8]",57,5,0,3,2,5,0,10,16752144.8,1.0,1.0,True,5.0,The single winning jackpot ticket matching 5 main numbers and 2 Lucky Stars was purchased in the UK .,,,https://www.lottery.co.uk/euromillions/results-09-04-2004,
2004-04-16,2004,April,4,Q2,Friday,10,"[14, 15, 28, 35, 40]","[1, 3]",132,2,3,2,3,3,1,4,10027500.0,0.0,0.0,False,5.0,,,,https://www.lottery.co.uk/euromillions/results-16-04-2004,
