Dimension,Segment,draws,jackpot_wins,jackpot_win_rate,expected_wins_at_overall_rate,lift_vs_overall_rate,won_mean,not_won_mean,difference
Year,2004,29,8,0.27586206896551724,7.483870967741935,1.0689655172413792,,,
Year,2026,2,0,0.0,0.5161290322580645,0.0,,,
Month,April,5,1,0.2,1.2903225806451613,0.775,,,
Month,August,4,1,0.25,1.032258064516129,0.96875,,,
Month,February,3,1,0.3333333333333333,0.7741935483870968,1.2916666666666667,,,
Month,July,5,0,0.0,1.2903225806451613,0.0,,,
Month,June,6,2,0.3333333333333333,1.5483870967741935,1.2916666666666667,,,
Month,March,4,1,0.25,1.032258064516129,0.96875,,,
Month,May,4,2,0.5,1.032258064516129,1.9375,,,
Quarter,Q1,7,2,0.2857142857142857,1.8064516129032258,1.1071428571428572,,,
Quarter,Q2,15,5,0.3333333333333333,3.870967741935484,1.2916666666666667,,,
Quarter,Q3,9,1,0.1111111111111111,2.32258064516129,0.4305555555555555,,,
Weekday,Friday,30,8,0.26666666666666666,7.741935483870968,1.0333333333333334,,,
Weekday,Tuesday,1,0,0.0,0.25806451612903225,0.0,,,
Rollover count,5.0,31,8,0.25806451612903225,8.0,1.0,,,
Ball set,19.0,2,0,0.0,0.5161290322580645,0.0,,,
Ball set,,29,8,0.27586206896551724,7.483870967741935,1.0689655172413792,,,
Ball machine,15.0,2,0,0.0,0.5161290322580645,0.0,,,
Ball machine,,29,8,0.27586206896551724,7.483870967741935,1.0689655172413792,,,
Won vs not won numeric mean,Jackpot prize GBP,31,8,0.25806451612903225,,,12971388.6,14249761.739130436,-1278373.139130436
Won vs not won numeric mean,Ball sum,31,8,0.25806451612903225,,,124.25,124.52173913043478,-0.2717391304347814
Won vs not won numeric mean,Low ball count,31,8,0.25806451612903225,,,2.375,2.4782608695652173,-0.1032608695652173
Won vs not won numeric mean,High ball count,31,8,0.25806451612903225,,,2.625,2.5217391304347827,0.1032608695652173
Won vs not won numeric mean,Odd ball count,31,8,0.25806451612903225,,,3.25,2.4347826086956523,0.8152173913043477
Won vs not won numeric mean,Even ball count,31,8,0.25806451612903225,,,1.75,2.5652173913043477,-0.8152173913043477
Won vs not won numeric mean,Birthday ball count,31,8,0.25806451612903225,,,2.75,3.130434782608696,-0.3804347826086958
Won vs not won numeric mean,Consecutive pairs,31,8,0.25806451612903225,,,0.125,0.5652173913043478,-0.4402173913043478
Won vs not won numeric mean,Star sum,31,8,0.25806451612903225,,,10.25,10.043478260869565,0.20652173913043548
